4.13. РАСПРЕДЕЛЕНИЕ ЧИСЛЕННОСТИ НАСЕЛЕНИЯ ПО ВЕЛИЧИНЕ СРЕДНЕДУШЕВЫХ ДЕНЕЖНЫХ ДОХОДОВ;;;;;;;;
в 2016 г.1);;;;;;;;
(в процентах от общей численности населения субъекта);;;;;;;;
;Величина среднедушевых денежных доходов, руб. в месяц;;;;;;;
;до 7 000,0;от 7 000,1;от 10 000,1 до 14 000,0;от 14 000,1 до 19 000,0;от 19 000,1 до 27 000,0;от 27 000,1;от 45 000,1;свыше
;;до 10 000,0;;;;до 45 000,0;до 60 000,0;60 000,00
Российская Федерация;6;7,9;12;14,3;18,2;22,7;8,5;10,4
Центральный федеральный округ;;;;;;;;
Белгородская область;5,5;7,8;12,4;15;18,9;23,1;8,2;9,1
Брянская область;7,1;9,7;14,5;16,5;19,3;20,7;6,4;5,8
Владимирская область;6,9;10,5;16,2;18,1;20,2;19,4;5,1;3,6
Воронежская область;6,4;8,2;12,5;14,7;18,4;22,3;8,1;9,4
Ивановская область;6,6;10,1;15,6;17,7;20,2;20,1;5,5;4,2
Калужская область;4,7;7,5;12,6;15,7;19,9;23,7;8;7,9
Костромская область;6,1;9,7;15,4;17,8;20,5;20,6;5,7;4,2
Курская область;6,5;9,2;14,3;16,5;19,6;21,3;6,6;6
Липецкая область;5,5;8;12,8;15,5;19,4;22,9;7,8;8,1
Московская область;2,2;4,1;7,8;11,3;17,3;26,8;12,1;18,4
Орловская область;7,7;10,7;15,9;17,5;19,5;19,3;5,3;4,1
Рязанская область;6,8;9,8;15;17,1;19,8;20,5;6;5
Смоленская область;6,5;9,7;15;17,3;20;20,7;6;4,8
Тамбовская область;6,6;9,2;14,1;16,2;19,4;21,3;6,8;6,4
Тверская область;4,8;8,9;15,4;18,6;21,8;21,4;5,5;3,6
Тульская область;4,9;7,9;13,2;16,2;20,3;23,2;7,5;6,8
Ярославская область;5,5;8,2;13,1;15,8;19,6;22,7;7,6;7,5
г. Москва;1;2;4,3;7,1;12,6;24,6;14,2;34,2
Северо-Западный;;;;;;;;
федеральный округ;;;;;;;;
Республика Карелия;3,2;7,2;13,7;18;22,7;24,1;6,6;4,5
Республика Коми;4,2;6,7;11,3;14,4;19,2;24,6;9,1;10,5
Архангельская область;2,9;5,6;10,4;14,2;19,8;26,4;9,9;10,8
в том числе:;;;;;;;;
Ненецкий автономный округ;0,5;1,2;2,9;5,3;10,3;22,7;14,7;42,4
Архангельская область;2,9;5,7;10,8;14,9;20,6;26,4;9,4;9,3
без автономного округа;;;;;;;;
Вологодская область;4,7;7,9;13,2;16,3;20,4;23,3;7,5;6,7
Калининградская область;5,2;8,6;14,1;17;20,5;22,3;6,7;5,6
Ленинградская область;5,2;8,2;13,4;16,2;20,1;22,8;7,3;6,8
Мурманская область;1,6;3,9;8,2;12,6;19,5;28,8;11,7;13,7
Новгородская область;6,2;9,3;14,5;16,9;20;21,3;6,4;5,4
Псковская область;6,3;10,6;16,9;19;20,9;19;4,5;2,8
г. Санкт-Петербург;2,7;4,5;8,1;11,3;16,8;25,7;11,8;19,1
Южный федеральный округ;;;;;;;;
Республика Адыгея;8,1;10,7;15,6;17,1;19,1;19,3;5,5;4,6
Республика Калмыкия;22,2;18,7;19,9;16;12,8;8,3;1,4;0,7
Республика Крым;9,4;14,4;20,6;20,3;18,8;13,2;2,3;1
Краснодарский край;5,3;7,1;11,2;13,7;18;23,4;9,2;12,1
Астраханская область;9,4;11,5;16;17;18,5;18,2;5,2;4,2
Волгоградская область;7,7;12;18;19,2;20;17,1;3,8;2,2
Ростовская область;6,5;8,9;13,6;15,8;19,1;21,7;7,2;7,2
г. Севастополь;5,5;9;14,7;17,5;20,7;21,6;6,2;4,8
Северо-Кавказский;;;;;;;;
федеральный округ;;;;;;;;
Республика Дагестан;5,4;8,1;12,9;15,6;19,4;22,9;7,8;7,9
Республика Ингушетия;19,8;18,4;20,4;16,8;13,6;8,8;1,5;0,7
Кабардино-Балкарская Республика;9,8;13,2;18,4;18,7;18,7;15,6;3,5;2,1
Карачаево-Черкесская Республика;15;16,4;20;18;15,9;11,4;2,2;1,1
Республика Северная Осетия – Алания;7,9;11,2;16,6;18;19,6;18,5;4,8;3,4
Чеченская Республика;10,8;11,8;15,8;16,4;17,7;17,7;5,2;4,6
Ставропольский край;9,4;11,6;16,3;17,2;18,6;18;5;3,9
Приволжский;;;;;;;;
федеральный округ;;;;;;;;
Республика Башкортостан;7,9;9,2;13,2;14,9;17,9;20,9;7,4;8,6
Республика Марий Эл;13,5;14,7;18,5;17,6;16,8;13,8;3,1;2
Республика Мордовия;14,4;15,5;19,3;17,8;16,4;12,5;2,6;1,5
Республика Татарстан;5,2;7,1;11,2;13,8;18,1;23,5;9,2;11,9
Удмуртская Республика;7,4;10,3;15,5;17,2;19,5;19,8;5,7;4,6
Чувашская Республика;11,9;15,1;19,9;19;17,5;12,9;2,5;1,2
Пермский край;7,3;8,9;13,1;14,9;18,1;21,4;7,6;8,7
Кировская область;7,4;11,5;17,5;19;20,1;17,8;4,2;2,5
Нижегородская область ;5,4;7,6;12;14,5;18,6;23,2;8,6;10,1
Оренбургская область;9,6;11,9;16,5;17,3;18,5;17,7;4,8;3,7
Пензенская область;9,2;11,8;16,7;17,7;18,9;17,7;4,6;3,4
Самарская область;6;8,8;13,7;16,1;19,6;22;7,1;6,7
Саратовская область;11,8;13,9;18,3;17,9;17,7;14,8;3,4;2,2
Ульяновская область;8,1;11,1;16,4;17,8;19,5;18,6;4,9;3,6
Уральский;;;;;;;;
федеральный округ;;;;;;;;
Курганская область;10;12,8;17,8;18,2;18,6;16,2;3,9;2,5
Свердловская область ;4,1;6,1;10,2;13,1;17,9;24,6;10,1;13,9
Тюменская область;3,4;5;8,5;11,4;16,5;24,8;11,3;19,1
в том числе:;;;;;;;;
Ханты-Мансийский автономный округ - Югра;1,7;3,4;6,8;10,2;16,3;27;13;21,6
Ямало-Ненецкий автономный округ;0,6;1,5;3,3;5,7;10,9;23,1;14,5;40,4
Тюменская область без автономных округов;6,2;8,5;13,1;15,4;19;22,2;7,6;8
Челябинская область;6,6;10,1;15,8;17,9;20,2;20;5,4;4
Сибирский;;;;;;;;
федеральный округ;;;;;;;;
Республика Алтай;13;15,3;19,6;18,4;17;12,8;2,5;1,4
Республика Бурятия;9,3;10,5;14,6;15,7;17,9;19,4;6,3;6,3
Республика Тыва;22,7;19,3;20,3;16;12,4;7,6;1,2;0,5
Республика Хакасия;9,1;12,1;17,3;18,1;19;17,2;4,3;2,9
Алтайский край;10,1;12,3;16,9;17,4;18,4;17,1;4,5;3,3
Забайкальский край;8,3;11,1;16,1;17,5;19,2;18,7;5,1;4
Красноярский край;6,6;8,7;13,2;15,3;18,7;21,9;7,5;8,1
Иркутская область;8,9;11,5;16,4;17,5;19;18,1;4,9;3,7
Кемеровская область;8,9;12;17,3;18,2;19,1;17,3;4,3;2,9
Новосибирская область ;6,3;9,3;14,5;16,8;19,9;21,3;6,4;5,5
Омская область;8,9;10,4;14,6;15,8;18,1;19,6;6,3;6,3
Томская область;5,5;9,2;15,1;17,9;20,9;21,3;5,8;4,3
Дальневосточный;;;;;;;;
федеральный округ;;;;;;;;
Республика Саха (Якутия);2,3;4,3;8,3;11,8;17,8;26,8;11,8;16,9
Камчатский край;0,7;2,1;5,6;10,1;18,1;31,2;14,2;18
Приморский край;3,2;5,8;10,6;14,2;19,6;25,9;9,8;10,9
Хабаровский край ;2,2;4,3;8,5;12,3;18,4;27,3;11,6;15,4
Амурская область;4,4;7,2;12,1;15,2;19,7;24,1;8,5;8,8
Магаданская область;0,7;1,9;4,5;7,9;14,5;27,8;15;27,7
Сахалинская область;1,4;2,8;5,8;9;14,8;26,2;13,6;26,4
Еврейская автономная область;5,5;9,5;15,5;18,3;21,1;20,8;5,5;3,8
Чукотский автономный округ;0,5;1,2;3;5,6;11,1;24,5;15,3;38,8
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
